Company,Standardized Company,Location Hint
Merck Group,Merck,Spain
Indotek Group,Indotek,Spain
Orion Rental Socimi,Orion Rental Socimi,Spain
Limestone Capital,Limestone Capital,Spain
Panattoni,Panattoni,Spain
Persepolis Investments,Persepolis Investments,Spain
Libra Gestión,Libra Gestión,Spain
Almyra Investment,Almyra Investment,Spain
Stoneshield,Stoneshield,Spain
Nobu Hotel,Nobu Hotel,San Sebastián
Aedas Homes,Aedas Homes,Spain
Merkel Capital,Merkel Capital,Spain
DoValue,DoValue,Spain
Wellder,Wellder,Spain
All Iron RE I Socimi,All Iron RE I Socimi,Spain
B&B Hotels,BandB Hotels,Spain
CEP,CEP,Spain
Bertelsmann,Bertelsmann,Spain
Ayesa,Ayesa,Spain
Iberdrola,Iberdrola,Spain
Greystar,Greystar,Spain
DPI-Dadelos,DPI-Dadelos,Spain
Amixalan,Amixalan,Spain
Blackstone,Blackstone,Spain
Kronos,Kronos,Spain
Dazia Capital,Dazia Capital,Spain
Home Capital,Home Capital,Spain
Sercotel ,Sercotel,Malaga
Aermont,Aermont,Spain
Cepsa,Cepsa,Spain
Árima Real Estate,Árima Real Estate,Spain
Habitat Inmobiliari,Habitat Inmobiliari,Spain
Colonial,Colonial,Barcelona
Grupo Fuertes &,Grupo Fuertes and,Spain
Hayfin Capital,Hayfin Capital,Spain
Habitat Inmobiliaria,Habitat Inmobiliaria,Spain
Haya Real Estate,Haya Real Estate,Spain
Tectum,Tectum,Spain
Lighthouse Properties,Lighthouse Properties,Spain
Zambal Socimi,Zambal Socimi,Spain
Neinor Homes,Neinor Homes,Madrid
Amixa Capital,Amixa Capital,Spain
Activ-Group,Activ-,Spain
Sercotel Hotel Group,Sercotel Hotel,Malaga
Urbas,Urbas,Spain
Farallon Capital,Farallon Capital,Spain
GRC IM,GRC IM,Spain
Magic Costa Blanca,Magic Costa Blanca,San Sebastián
Nuovit Homes,Nuovit Homes,Spain
Merlin Properties,Merlin Properties,Madrid
Neinor Homes,Neinor Homes,Madrid
Ares Management,Ares Management,Spain
Colonial,Colonial,Barcelona
Habitat Inmobiliaria,Habitat Inmobiliaria,Spain
Blackstone,Blackstone,Spain
Axiare,Axiare,Madrid
Testa Residencial,Testa Residencial,Madrid
Lar España,Lar España,Madrid
Metrovacesa,Metrovacesa,Madrid
Realia,Realia,Spain
Kronos Homes,Kronos Homes,Spain
Tectum,Tectum,Spain
Aedas Homes,Aedas Homes,Spain
Hines,Hines,Spain
Azora,Azora,Spain
Mazabi,Mazabi,Spain
HIP,HIP,Spain
Pontegadea,Pontegadea,Spain
Brookfield,Brookfield,Spain
Axa IM,Axa IM,Spain
Vandor,Vandor,Spain
Iroko Zen,Iroko Zen,Spain
