Company,Standardized Company,Location Hint
Sound African Recordings,Sound African Recordings,"Spotify, theyanos.co.za, instagram.com, beatportal.com, beatstats.com"
New Money Gang Records,New Money Gang Records,"beatstats.com, beatportal.com, theyanos.co.za"
Universal Music (Pty) Ltd.,Universal Music,"en.wikipedia.org, beatportal.com, theyanos.co.za"
Black Major x Ice Drop,Black Major x Ice Drop,"beatportal.com, beatstats.com"
Rapture Music Group,Rapture Music Group,"musicinafrica.net, beatportal.com, beatstats.com"
EMPIRE,EMPIRE,"labelradar.com, beatportal.com, en.wikipedia.org"
Helix Records,Helix Records,N/A
Warner Music Africa,Warner Music Africa,beatportal.com
Kreativekornerr,Kreativekornerr,"groover.co, beatportal.com, beatstats.com"
TitoM,TitoM,beatportal.com
Mavin Records,Mavin Records,"grammy.com, unorthodoxreviews.com, bet.com, universalmusic.com, afrobeatsreels.com"
DMW (Davido Music Worldwide),DMW,"bet.com, unorthodoxreviews.com, afrobeatsreels.com"
YBNL Nation,YBNL Nation,"en.wikipedia.org, unorthodoxreviews.com, afrobeatsreels.com"
Chocolate City,Chocolate City,"pitchfork.com, unorthodoxreviews.com, afrobeatsreels.com"
Starboy Entertainment,Starboy Entertainment,"wetalksound.co, unorthodoxreviews.com, afrobeatsreels.com"
Jonzing World,Jonzing World,"pitchfork.com, unorthodoxreviews.com, blog.ur-pr.com"
Penthauze Music,Penthauze Music,"rexclarkeadventures.com, unorthodoxreviews.com, afrobeatsreels.com"
EMPIRE Africa,EMPIRE Africa,"rexclarkeadventures.com, en.wikipedia.org, afrobeatsreels.com"
Def Jam Africa,Def Jam Africa,en.wikipedia.org
Native Records,Native Records,en.wikipedia.org
EMPIRE Latino,EMPIRE Latino,Latin America / US
Universal Music Latin Entertainment,UMLE,Latin America / Global
Machete Music,Machete Music,US-based / Latin Urban
White Lion Records,White Lion Records,Puerto Rico
Warner Music Latina,Warner Music Latina,US-based
CTM,CTM,Ecuador
MUAKK,MUAKK,"Bogotá, Colombia"
Devagar Discos,Devagar Discos,"Buenos Aires, Argentina"
Club Felinas,Club Felinas,Colombia
Afro–Latin Collaborations,Cross-label Collaborations,"Maluma/Rayvanny, Burna Boy/J Balvin"
